target,relatedWord,pinyin,meaning,level
服,佩服,pèi fú,khâm phục,3
服,克服,kè fú,khắc phục,3
服,征服,zhēng fú,chinh phục,3
服,服装,fú zhuāng,trang phục,3
服,服务台,fú wù tái,quầy lễ tân; quầy phục vụ,3
服,说服,shuō fú,thuyết phục,4
服,服气,fú qì,bị thuyết phục,5
服,制服,zhì fú,đồng phục,6
服,屈服,qū fú,đầu hàng,6
服,服从,fú cóng,tuân thủ,6
服,羽绒服,yǔ róng fú,áo lông vũ,6
服务,服务员,fúwùyuán,nhân viên phục vụ,1
服务,服务台,fú wù tái,quầy lễ tân; quầy phục vụ,3
服务,服务器,fú wù qì,máy chủ,7
服气,不服气,bù fú qì,không phục,7
朗,晴朗,qíng lǎng,nắng đẹp,4
朗,朗读,lǎng dú,đọc to,5
朗,开朗,kāi lǎng,"vui vẻ, cởi mở",7
朗,明朗,míng lǎng,"rõ ràng, hiển nhiên",7
朗,朗吟,lǎng yín,ngâm nga vang vọng,7
朗,朗诵,lǎng sòng,ngâm thơ,7
朗,硬朗,yìng lǎng,vững chắc,7
望,希望,xī wàng,hy vọng,1
望,失望,shī wàng,thất vọng,2
望,愿望,yuàn wàng,mong muốn,2
望,欲望,yù wàng,khao khát,3
望,喜出望外,xǐ chū wàng wài,vui mừng khôn xiết,3
望,看望,kàn wàng,thăm,4
望,盼望,pàn wàng,mong mỏi,5
望,威望,wēi wàng,uy tín,6
望,展望,zhǎn wàng,nhìn về tương lai,6
望,指望,zhǐ wàng,hy vọng,6
望,期望,qī wàng,hy vọng; hy vọng,6
望,渴望,kě wàng,khao khát,6
望,东张西望,dōng zhāng xī wàng,nhìn xung quanh,6
望,声望,shēng wàng,uy tín,7
望,奢望,shē wàng,ước muốn hoang dã,7
朝,朝三暮四,zhāo sān mù sì,thay đổi thất thường,5
朝,朝代,cháo dài,triều đại,6
朝,朝鲜,Cháo xiǎn,Triều Tiên (Cộng hòa Dân chủ Nhân dân Triều Tiên),6
朝,朝气蓬勃,zhāo qì péng bó,năng động và tích cực,6
朝,朝着,cháo zhe,đối mặt,7
朝,有朝一日,yǒu zhāo yī rì,một ngày nào đó,7
朝,朝夕相处,zhāo xī xiāng chǔ,ở cùng từ sáng đến tối,7
朝,热火朝天,rè huǒ cháo tiān,"Sôi nổi, tưng bừng, hăng hái (chỉ cảnh làm việc sôi nổi).",8
期,假期,jià qī,kỳ nghỉ,1
期,学期,xué qī,học kỳ,1
期,日期,rì qī,ngày,1
期,星期,xīng qī,Tuần,1
期,星期一,xīng qī yī,thứ Hai,1
期,星期三,xīng qī sān,thứ Tư,1
期,星期二,xīng qī èr,thứ Ba,1
期,星期五,xīng qī wǔ,thứ Sáu,1
期,星期六,xīng qī liù,thứ Bảy,1
期,星期四,xīng qī sì,thứ Năm,1
期,星期天,xīng qī tiān,Chủ nhật,1
期,星期日,xīng qī rì,Chủ nhật,1
期,定期,dìng qī,định kỳ; thường xuyên,3
期,短期,duǎn qī,ngắn hạn,3
期,近期,jìn qī,gần đây,3
朦,朦胧,méng lóng,mờ mịt,5
木,乔木,qiáo mù,"cây thân gỗ, cây to",3
木,木头,mù tou,gỗ,3
木,麻木,má mù,không có cảm giác,6
木,木偶,mù'ǒu,hình ảnh bằng gỗ,7
木,木匠,mù jiàng,thợ mộc,7
木,木材,mùcái,gỗ,7
木,木板,mù bǎn,ván gỗ,7
木,树木,shù mù,cây cối,7
未,未来,wèi lái,tương lai,2
未,未必,wèi bì,chưa chắc,4
未,未免,wèi miǎn,thực sự,6
未,从未,cóng wèi,chưa bao giờ,7
未,尚未,shàng wèi,chưa,7
未,未经,wèi jīng,không trải qua,7
未,未知数,wèi zhī shù,số chưa biết,7
未,前所未有,qián suǒ wèi yǒu,chưa từng có,7
未,未成年人,wèi chéng nián rén,người chưa thành niên,7
末,周末,zhōu mò,cuối tuần,1
末,强弩之末,qiáng nǔ zhī mò,"Tên nỏ mạnh hết đà, sức mạnh đã cạn, yếu ớt khi kết thúc",3
末,期末,qī mò,cuối kỳ,4
末,粉末,fěn mò,bột,6
末,末日,mò rì,ngày cuối cùng,7
本,日本,Rì běn,Nhật Bản,1
本,本子,běn zi,vở bài tập,1
本,课本,kè běn,sách giáo khoa,1
本,基本,jī běn,cơ bản,2
本,本来,běn lái,nguyên bản,2
本,笔记本,bǐ jì běn,máy tính xách tay,2
本,本事,běn shì,khả năng,3
本,本能,běn néng,bản năng,3
本,本领,běn lǐng,khả năng,3
本,根本,gēn běn,hoàn toàn,3
本,基本上,jī běn shang,về cơ bản,3
本,原本,yuán běn,ban đầu,4
本,忘本,wàng běn,Quên nguồn gốc; quên bản chất,4
本,本科,běn kē,bằng cử nhân,4
本,标本,biāo běn,mẫu vật,4
术,美术馆,měi shù guǎn,"Bảo tàng mỹ thuật, phòng trưng bày nghệ thuật",1
术,美术,měi shù,nghệ thuật,2
术,艺术,yì shù,nghệ thuật,2
术,技术,jì shù,công nghệ,3
术,武术,wǔ shù,wushu,3
术,学术,xué shù,học thuật,4
术,手术,shǒu shù,phẫu thuật,4
术,战术,zhàn shù,chiến thuật,6
术,魔术,mó shù,ảo thuật,6
术,印刷术,yìn shuā shù,nghề in,7
术,手术室,shǒu shù shì,phòng phẫu thuật,7
术,造纸术,zào zhǐ shù,công nghệ làm giấy,7
术,高新技术,gāo xīn jì shù,công nghệ cao mới,7
朱,朱红,zhū hóng,đỏ tươi,7
朴,朴实,pǔ shí,đơn giản,6
朴,朴素,pú sù,"giản dị, đơn giản",6
朴,淳朴,chún pú,"chất phác, mộc mạc, thuần phác",6
朴,古朴,gǔ pǔ,giản dị và cổ kính,7
朴,纯朴,chún pǔ,chân chất và giản dị,7
朴,质朴,zhì pǔ,đơn giản,7
朵,耳朵,ěr duo,tai,1
朵,朵颐,duǒ yí,"ăn uống ngon lành, thưởng thức món ăn",4
机,手机,shǒu jī,điện thoại di động,1
机,机场,jī chǎng,sân bay,1
机,机票,jī piào,vé máy bay,1
机,飞机,fēi jī,máy bay,1
机,电视机,diàn shì jī,TV,1
机,关机,guān jī,tắt máy,2
机,司机,sī jī,tài xế,2
机,开机,kāi jī,bật nguồn,2
机,机会,jī huì,"cơ hội, dịp",2
机,相机,xiàng jī,máy ảnh,2
机,洗衣机,xǐ yī jī,máy giặt,2
机,计算机,jì suàn jī,máy tính,2
机,危机,wēi jī,khủng hoảng,3
机,机器,jī qì,máy móc,3
机,耳机,ěr jī,tai nghe,3
机动,机动车,jī dòng chē,xe cơ giới,6
机器,机器人,jī qì rén,robot,5
朽,腐朽,fǔ xiǔ,thối rữa,7
杀,宰杀,zǎi shā,giết mổ,3
杀,杀毒,shā dú,diệt virus,5
杀,自杀,zì shā,tự tử,5
杀,屠杀,tú shā,tàn sát,7
杀,抹杀,mǒ shā,xoá bỏ,7
杀,暗杀,àn shā,ám sát,7
杀,杀出,shā chū,"Giết ra, xông ra (mang tính đột ngột, mạnh mẽ)",7
杀,杀害,shā hài,giết hại,7
杀,杀手,shā shǒu,kẻ giết người,7
杂,杂志,zá zhì,tạp chí,1
杂,复杂,fù zá,phức tạp,2
杂,嘈杂,cáo zá,ồn ào,6
杂,杂交,zá jiāo,lai tạo,6
杂,杂技,zá jì,xiếc,7
杂,杂乱无章,zá luàn wú zhāng,hỗn loạn và bừa bộn,7
杂,错综复杂,cuò zōng fù zá,phức tạp,7
权,权利,quán lì,quyền lợi,4
权,权力,quán lì,quyền lực,5
权,人权,rén quán,nhân quyền,6
权,政权,zhèng quán,chính quyền,6
权,权威,quán wēi,uy quyền,6
权,权衡,quán héng,cân nhắc,6
权,主权,zhǔ quán,chủ quyền,7
权,侵权,qīn quán,vi phạm quyền,7
权,授权,shòu quán,ủy quyền,7
权,权益,quán yì,quyền lợi và lợi ích,7
权,特权,tè quán,đặc quyền,7
权,职权,zhí quán,quyền lực của văn phòng,7
权,自治权,zì zhì quán,quyền tự trị,7
杆,栏杆,lán gān,lan can,5
杆,杠杆,gàng gǎn,đòn bẩy,6
李,行李,xíng li,hành lý,1
李,行李箱,xíng li xiāng,vali; cốp xe,3
材,教材,jiào cái,tài liệu giảng dạy,3
材,材料,cái liào,vật liệu,4
材,身材,shēn cái,vóc dáng,4
材,题材,tí cái,vấn đề,5
材,器材,qì cái,thiết bị,6
材,木材,mùcái,gỗ,7
材,棺材,guān cai,quan tài,7
材,素材,sù cái,tài liệu nguồn,7
材,药材,yào cái,nguyên liệu thuốc,7
材,原材料,yuán cái liào,nguyên liệu thô,7
材料,原材料,yuán cái liào,nguyên liệu thô,7
村,农村,nóng cūn,vùng nông thôn,2
村,乡村,xiāng cūn,nhạc đồng quê,5
村,村庄,cūn zhuāng,làng,6
杖,拐杖,guǎi zhàng,cái nạng,7
杖,禅杖,chán zhàng,gậy thiền,7
杖,擀面杖,gǎn miàn zhàng,"Cây cán bột, thanh lăn bột",7
杜,杜绝,dù jué,chấm dứt hoàn toàn,6
束,结束,jié shù,kết thúc,2
束,拘束,jū shù,bị ràng buộc,7
束,束缚,shù fù,trói buộc,7
束,装束,zhuāng shù,"Trang phục, cách ăn mặc",8
杠,杠杆,gàng gǎn,đòn bẩy,6
杠,杠铃,gàng líng,tạ đòn,7
条,面条,miàn tiáo,mì,1
条,请假条,qǐng jià tiáo,Giấy xin nghỉ phép,1
条,面条儿,miàn tiáor,mì sợi,1
条,条件,tiáo jiàn,điều kiện,2
条,便条,biàn tiáo,ghi chú,5
条,苗条,miáo tiáo,mảnh mai,5
条,条款,tiáo kuǎn,điều khoản,6
条,条理,tiáo lǐ,sắp xếp,6
条,薯条,shǔ tiáo,khoai tây chiên,6
条,有条不紊,yǒu tiáo bù wěn,đều đặn và kỹ lưỡng,6
条,借条,jiè tiáo,giấy vay nợ,7
条,头条,tóu tiáo,tin dẫn đầu,7
条,教条,jiào tiáo,giáo điều,7
条,条例,tiáo lì,quy định,7
条,条约,tiáo yuē,hiệp ước,7
条件,无条件,wú tiáo jiàn,vô điều kiện,7
来,出来,chū lai,ra ngoài,1
来,回来,huí lai,quay lại,1
来,来到,lái dào,đến,1
来,起来,qǐ lái,đứng lên,1
来,进来,jìn lái,vào,1
来,看起来,kàn qǐ lái,trông như thể,1
来,上来,shàng lái,"đi lên, vào trong",2
来,下来,xià lái,đi xuống,2
来,从来,cóng lái,luôn luôn,2
来,原来,yuán lái,ban đầu; trước đây,2
来,后来,hòu lái,sau này,2
来,将来,jiāng lái,tương lai,2
来,带来,dài lái,mang đến,2
来,未来,wèi lái,tương lai,2
来,本来,běn lái,nguyên bản,2
来源,来源于,lái yuán yú,bắt nguồn từ,7
杨,杨树,yáng shù,cây dương,7
杭,杭州,Háng zhōu,Hàng Châu (thành phố),5
杯,杯子,bēi zi,cốc,1
杯,干杯,gān bēi,cạn ly,2
杯,世界杯,Shì jiè bēi,Cúp thế giới,3
杯,奖杯,jiǎng bēi,cúp,7
杰,杰出,jié chū,xuất sắc,6
松,放松,fàng sōng,thư giãn,1
松,松柏,sōng bǎi,tùng bách (cây tùng và cây bách),3
松,松树,sōng shù,cây thông,4
松,轻松,qīng sōng,thư giãn,4
松,宽松,kuān sōng,rộng rãi và thoải mái,7
松,松弛,sōng chí,"thư giãn, yếu đi",7
松,松绑,sōng bǎng,nới lỏng,7
板,黑板,hēi bǎn,bảng đen,2
板,老板,lǎo bǎn,ông chủ,3
板,地板,dì bǎn,sàn nhà,6
板,叫板,jiào bǎn,"khiêu khích, thách đấu",7
板,拍板,pāi bǎn,bộ gõ,7
板,木板,mù bǎn,ván gỗ,7
板,板块,bǎn kuài,tấm,7
极,极了,jí le,cực kỳ,1
极,太极拳,tài jí quán,Thái Cực Quyền,1
极,积极,jī jí,tích cực,2
极,极其,jí qí,rất,3
极,极致,jí zhì,"Cực điểm, tột đỉnh, tối đa",4
极,消极,xiāo jí,tiêu cực,5
极,极端,jí duān,cực đoan; cực kỳ,6
极,极限,jí xiàn,giới hạn,6
极,乐极生悲,lè jí shēng bēi,Vui quá hóa buồn,6
极,太极,tài jí,cực kỳ vĩ đại,7
极,极为,jí wéi,cực kỳ,7
极,极力,jí lì,nỗ lực hết mình,7
极,极度,jídù,cực kỳ,7
极,极少数,jí shǎo shù,nhóm thiểu số nhỏ,7
构,构词,gòu cí,"Cấu tạo từ, tạo từ",3
构,机构,jī gòu,cơ quan,4
构,构建,gòu jiàn,xây dựng,4
构,构成,gòu chéng,cấu thành,4
构,构筑,gòu zhù,"xây dựng, kiến tạo",4
构,构造,gòu zào,kết cấu,4
构,结构,jié gòu,cấu trúc,4
构,构思,gòu sī,lên kế hoạch,6
构,构想,gòu xiǎng,ý tưởng,7
构,虚构,xū gòu,hư cấu,7
枉,冤枉,yuān wǎng,đối xử không công bằng,6
析,分析,fēn xī,phân tích,5
析,解析,jiě xī,phân tích,7
枕,枕头,zhěn tou,gối,6
林,园林,yuán lín,vườn,3
林,树林,shù lín,khu rừng,4
林,森林,sēn lín,rừng,4
林,丛林,cóng lín,rừng rậm,7
林,少林寺,Shào lín Sì,Chùa Thiếu Lâm,7
林,穆斯林,Mù sī lín,người Hồi giáo,7
果,如果,rú guǒ,nếu,1
果,效果,xiào guǒ,hiệu quả,1
果,果汁,guǒ zhī,nước ép trái cây,1
果,水果,shuǐ guǒ,trái cây,1
果,苹果,píng guǒ,táo,1
果,结果,jié guǒ,kết quả; do đó,2
果,后果,hòu guǒ,hậu quả,3
果,成果,chéng guǒ,thành quả,3
果,果然,guǒ rán,quả nhiên,3
果,果实,guǒ shí,trái cây,4
果,果断,guǒ duàn,quyết đoán,6
果,果树,guǒ shù,cây ăn quả,6
果,果酱,guǒ jiàng,mứt,6
果,果园,guǒ yuán,vườn cây ăn quả,7
果,果真,guǒ zhēn,thực sự,7
枝,荔枝,lì zhī,Vải (quả vải),3
枝,枝干,zhī gàn,"Cành cây, thân cây",5
枝,树枝,shù zhī,cành cây,7
枢,枢纽,shū niǔ,trục,7
枪,步枪,bù qiāng,súng trường,4
枪,开枪,kāi qiāng,bắn súng,7
枪,手枪,shǒu qiāng,súng ngắn,7
枪,枪毙,qiāng bì,bắn chết,7
枪,单枪匹马,dān qiāng pǐ mǎ,"một mình một ngựa, đơn thương độc mã (làm việc gì đó một mình)",7
枯,枯瘦,kū shòu,"Gầy gò, khô héo",6
枯,枯燥,kū zào,nhàm chán,7
架,吵架,chǎo jià,cãi nhau,2
架,书架,shū jià,giá sách,3
架,打架,dǎ jià,đánh nhau,3
架,衣架,yī jià,móc treo quần áo,3
架,十字架,shí zì jià,"thập tự giá, thánh giá",3
架,框架,kuàng jià,khung,6
架,绑架,bǎng jià,bắt cóc,6
架,架势,jià shi,tư thế,7
架,架子,jià zi,kiêu căng,7
柄,门柄,mén bǐng,"tay nắm cửa, nắm cửa",4
柄,把柄,bǎ bǐng,bằng chứng,7
柏,松柏,sōng bǎi,tùng bách (cây tùng và cây bách),3
柏,柏树,bǎi shù,cây bách,7
染,污染,wū rǎn,ô nhiễm,4
染,传染,chuán rǎn,lây nhiễm,5
染,感染,gǎn rǎn,nhiễm,6
染,传染病,chuán rǎn bìng,bệnh truyền nhiễm,7
染,感染力,gǎn rǎn lì,sức ảnh hưởng,7
柔,柔韧,róu rèn,"Mềm dẻo và dai, bền bỉ",3
柔,柔和,róu hé,mềm mại,5
柔,温柔,wēn róu,dịu dàng,5
柔,柔软,róuruǎn,"mềm, linh hoạt",7
柜,柜台,guì tái,quầy thu ngân,5
柜,专柜,zhuān guì,quầy chuyên dụng,7
查,检查,jiǎn chá,kiểm tra,2
查,调查,diào chá,khảo sát,3
查,查询,chá xún,tra cứu,5
查,审查,shěn chá,kiểm duyệt,6
查,查出,chá chū,điều tra ra,6
查,查看,chá kàn,kiểm tra,6
查,查获,chá huò,truy tìm và thu giữ,6
查,复查,fù chá,kiểm tra lại,7
查,搜查,sōu chá,khám xét,7
查,查处,chá chǔ,điều tra và xử lý,7
查,查找,chá zhǎo,tìm kiếm,7
查,查明,chá míng,điều tra và tìm hiểu,7
柬,请柬,qǐng jiǎn,thiệp mời,7
柱,柱子,zhù zi,cột,2
柱,支柱,zhī zhù,trụ cột,6
柳,柳州,liǔ zhōu,Liễu Châu (thành phố),5
柳,柳树,liǔ shù,cây liễu,7
柴,柴火,chái huo,Củi đốt; củi,4
柴,火柴,huǒ chái,diêm,5
柴,柴油,chái yóu,dầu diesel,6
柿,西红柿,xī hóng shì,cà chua,2
柿,柿子,shì zi,quả hồng,4
柿,西红柿炒鸡蛋,xī hóng shì chǎo jī dàn,cà chua xào trứng,5
标,标准,biāo zhǔn,tiêu chuẩn,1
标,标题,biāo tí,tiêu đề,3
标,目标,mù biāo,mục tiêu,3
标,标志,biāo zhì,biểu tượng; tượng trưng,4
标,标本,biāo běn,mẫu vật,4
标,指标,zhǐ biāo,mục tiêu,5
标,标点,biāo diǎn,dấu chấm câu,5
标,鼠标,shǔ biāo,chuột máy tính,5
标,商标,shāng biāo,nhãn hiệu,6
标,标记,biāo jì,đánh dấu,6
标,招标,zhāo biāo,mời thầu,7
标,标榜,biāo bǎng,khoe khoang,7
标,标示,biāo shì,dấu hiệu,7
标,标签,biāo qiān,"nhãn, thẻ",7
标,标致,Biāo zhì,Peugeot,7
栋,栋梁,dòng liáng,trụ cột,7
栏,广告栏,guǎng gào lán,"Bảng quảng cáo, cột quảng cáo",2
栏,栏杆,lán gān,lan can,5
栏,栏目,lán mù,chuyên mục,6
栏,专栏,zhuān lán,chuyên mục,7
树,松树,sōng shù,cây thông,4
树,树叶,shù yè,lá cây,4
树,树林,shù lín,khu rừng,4
树,果树,guǒ shù,cây ăn quả,6
树,树立,shù lì,thành lập,6
树,建树,jiàn shù,đóng góp,7
树,杨树,yáng shù,cây dương,7
树,柏树,bǎi shù,cây bách,7
树,柳树,liǔ shù,cây liễu,7
树,树木,shù mù,cây cối,7
树,树枝,shù zhī,cành cây,7
树,树梢,shù shāo,ngọn cây,7
树,树荫,shù yīn,bóng cây,7
树,槐树,huái shù,cây hòe,7
栓,血栓,xuè shuān,cục máu đông,7
栖,两栖,liǎng qī,lưỡng cư,7
栗,栗子,lì zi,hạt dẻ,4
校,学校,xué xiào,trường học,1
校,校园,xiào yuán,khuôn viên trường,1
校,校长,xiào zhǎng,hiệu trưởng,2
校,母校,mǔ xiào,"Trường cũ, trường mẹ, alma mater",2
校,夜校,yè xiào,trường đêm,7
株,守株待兔,shǒu zhū dài tù,chờ đợi vô ích,7
样,一样,yī yàng,giống nhau,1
样,这样,zhè yàng,như vậy,1
样,怎么样,zěn me yàng,Thế nào?,1
样,同样,tóng yàng,tương tự,2
样,怎样,zěn yàng,như thế nào?,2
样,样子,yàng zi,"hình dạng, loại, mẫu mã",2
样,那样,nà yàng,loại đó,2
样,什么样,shén me yàng,loại gì?,2
样,像样,xiàng yàng,khá,3
样,好样儿的,hǎo yàngr de,"Tuyệt vời, xuất sắc, đáng khen",3
样,多样,duō yàng,đa dạng,4
样,样式,yàng shì,"mẫu, kiểu",5
样,一模一样,yī mú yī yàng,giống nhau,5
样,样品,yàng pǐn,mẫu sản phẩm,6
样,模样,mú yàng,vẻ ngoài,6
样子,看样子,kàn yàng zi,dường như,7
核,核桃,hé tao,quả óc chó,2
核,核心,hé xīn,cốt lõi,5
核,考核,kǎo hé,kiểm tra,6
核,审核,shěn hé,kiểm tra; xác minh,7
核,核实,hé shí,xác minh,7
核,核对,hé duì,kiểm tra,7
核,核能,hé néng,năng lượng hạt nhân,7
核,核武器,hé wǔ qì,vũ khí hạt nhân,7
核,核电站,hé diàn zhàn,nhà máy điện hạt nhân,7
根,根据,gēn jù,dựa trên,3
根,根本,gēn běn,hoàn toàn,3
根,根源,gēn yuán,gốc rễ,3
根,根基,gēn jī,nền tảng,5
根,根治,gēn zhì,chữa tận gốc,5
根,归根到底,guī gēn dào dǐ,cuối cùng,6
根,根深蒂固,gēn shēn dì gù,ăn sâu bám rễ,6
根,扎根,zhā gēn,bén rễ,7
根,斩草除根,zhǎn cǎo chú gēn,nhổ cỏ tận gốc,7
格,及格,jí gé,đạt yêu cầu,2
格,性格,xìng gé,tính cách,2
格,价格,jià gé,giá,3
格,合格,hé gé,đạt yêu cầu,3
格,表格,biǎo gé,mẫu đơn,3
格,资格,zī gé,trình độ chuyên môn,3
格,风格,fēng gé,phong cách,3
格,严格,yán gé,nghiêm ngặt,4
格,格外,gé wài,đặc biệt,4
格,人格,rén gé,nhân cách,6
格,格局,gé jú,kết cấu,6
格,规格,guī gé,thông số kỹ thuật,6
格,格式,gé shì,mẫu định sẵn,7
格,苏格兰,Sū gé lán,Scotland,7
格,格格不入,gé gé bù rù,không tương thích,7
栽,栽培,zāi péi,trồng trọt,6
桂,桂花,guì huā,hoa mộc,7
桃,核桃,hé tao,quả óc chó,2
框,框架,kuàng jià,khung,6
案,图案,tú'àn,hoa văn,4
案,方案,fāng'àn,"dự án, kịch bản",4
案,答案,dá'àn,câu trả lời,4
案,案件,àn jiàn,vụ án,6
案,案例,àn lì,trường hợp,6
案,档案,dàng'àn,lưu trữ,6
案,草案,cǎo'àn,dự thảo,6
案,个案,gè àn,trường hợp riêng,7
案,破案,pò'àn,phá án,7
桌,桌子,zhuō zi,bàn,1
桌,餐桌,cān zhuō,bàn ăn,7
桑,饱经沧桑,bǎo jīng cāng sāng,trải qua thăng trầm cuộc đời,6
桑,桑拿,sāng ná,phòng tắm hơi,7
桑,沧桑,cāng sāng,thăng trầm,7
档,高档,gāo dàng,cấp cao,5
档,大排档,dà pái dàng,"quán ăn vỉa hè, quán bình dân",5
档,搭档,dā dàng,đối tác,6
档,档案,dàng'àn,lưu trữ,6
档,档次,dàng cì,cấp bậc,7
桥,桥牌,qiáo pái,Bài Bridge,3
桥,桥梁,qiáo liáng,cầu,6
桥,立交桥,lì jiāo qiáo,cầu vượt,6
桥,天桥,tiān qiáo,cầu vượt dành cho người đi bộ,7
桨,船桨,chuán jiǎng,mái chèo,7
桶,垃圾桶,lā jī tǒng,thùng rác,4
桶,马桶,mǎ tǒng,bồn cầu,7
梁,桥梁,qiáo liáng,cầu,6
梁,栋梁,dòng liáng,trụ cột,7
梁,脊梁,jǐ liáng,xương sống,7
梅,梅花,méi huā,hoa mai,6
梢,树梢,shù shāo,ngọn cây,7
梢,眉梢,méi shāo,"Đuôi lông mày, đầu lông mày (phần cuối lông mày).",8
梦,做梦,zuò mèng,có một giấc mơ,1
梦,白日梦,bái rì mèng,"giấc mơ ban ngày, mơ mộng hão huyền",3
梦,梦想,mèng xiǎng,mơ ước,4
梦,梦见,mèng jiàn,mơ về,4
梦,梦境,mèng jìng,"Giấc mơ, cảnh trong mơ",7
梦,梦幻,mèng huàn,ảo ảnh,7
梦,如梦初醒,rú mèng chū xǐng,"Như tỉnh dậy sau một giấc mơ, bừng tỉnh",7
梯,梯子,tī zi,cái thang,3
梯,楼梯,lóu tī,cầu thang,3
梯,电梯,diàn tī,thang máy,3
梯,滑梯,huá tī,cầu trượt trẻ em,7
梯,阶梯,jiē tī,cầu thang,7
械,器械,qì xiè,thiết bị,4
械,机械,jī xiè,cơ khí,6
梳,梳子,shū zi,lược,5
梳,梳理,shū lǐ,chải,7
检,检查,jiǎn chá,kiểm tra,2
检,检票,jiǎn piào,soát vé,3
检,体检,tǐ jiǎn,khám sức khoẻ,4
检,检测,jiǎn cè,kiểm tra,4
检,安检,ān jiǎn,kiểm tra an ninh,6
检,检讨,jiǎn tǎo,tự phê bình,6
检,检验,jiǎn yàn,kiểm tra,6
检,检察,jiǎn chá,kiểm sát,7
棉,棉花,mián huā,bông,6
棋,下棋,xià qí,chơi cờ,2
棋,象棋,xiàng qí,cờ tướng,5
棋,棋子,qí zǐ,quân cờ,7
棍,棍棒,gùn bàng,gậy,6
棍,棍子,gùn zi,gậy,7
棍,冰棍儿,bīng gùnr,kem que,7
棒,棍棒,gùn bàng,gậy,6
棒,棒球,bàng qiú,bóng chày,7
棘,棘手,jí shǒu,rắc rối,7
棘,荆棘,jīng jí,bụi gai,7
棚,车棚,chē péng,"nhà để xe (đạp, máy), mái che xe",1
棚,棚子,péng zi,"lán, nhà kho tạm, nhà bạt",5
棚,大棚,dà péng,nhà kính,7
棠,海棠,hǎi táng,hải đường (loài hoa),4
森,森林,sēn lín,rừng,4
棱,棱角,léng jiǎo,cạnh và góc,7
棺,棺材,guān cai,quan tài,7
椅,椅子,yǐ zi,ghế,1
椅,轮椅,lún yǐ,xe lăn,4
椅,藤椅,téng yǐ,ghế mây,7
植,移植,yí zhí,cấy ghép,3
植,植物,zhí wù,cây trồng,4
植,种植,zhòng zhí,trồng,4
椒,辣椒,là jiāo,ớt,2
椰,椰子,yē zi,dừa,7
楚,清楚,qīng chu,rõ ràng,2
楷,楷模,kǎi mó,hình mẫu,7
楼,楼上,lóu shàng,tầng trên,1
楼,楼下,lóu xià,tầng dưới,1
楼,教学楼,jiào xué lóu,tòa nhà dạy học,1
楼,楼梯,lóu tī,cầu thang,3
楼,上楼,shàng lóu,lên lầu,4
楼,下楼,xià lóu,đi xuống cầu thang,4
楼,大楼,dà lóu,tòa nhà nhiều tầng,4
楼,楼房,lóu fáng,tòa nhà,6
楼,楼道,lóu dào,hành lang,6
楼,写字楼,xiě zì lóu,tòa nhà văn phòng,6
楼,酒楼,jiǔ lóu,quán rượu,7
楼,居民楼,jū mín lóu,tòa nhà dân cư,7
楼,海市蜃楼,hǎi shì shèn lóu,"ảo ảnh, lâu đài trên biển",7
楼,空中楼阁,kōng zhōng lóu gé,"lâu đài trên không, ảo tưởng, viển vông",7
概,大概,dà gài,khoảng,1
概,概念,gài niàn,khái niệm,3
概,概括,gài kuò,khái quát,4
概,气概,qì gài,phẩm chất cao quý,6
概,一概,yī gài,không ngoại lệ,7
概,概况,gài kuàng,tình hình chung,7
概,概率,gài lǜ,xác suất,7
概,概论,gài lùn,tổng quát,7
概,一概而论,yī gài ér lùn,đánh đồng,7
榄,橄榄,gǎn lǎn,ô liu (cây/quả); quả trám,4
榜,排行榜,pái háng bǎng,danh sách xếp hạng,6
榜,标榜,biāo bǎng,khoe khoang,7
榜,榜样,bǎng yàng,hình mẫu,7
榨,压榨,yā zhà,ép,6
槐,槐树,huái shù,cây hòe,7
槛,门槛,mén kǎn,ngưỡng cửa,5
槽,跳槽,tiào cáo,thay đổi công việc,6
槽,水槽,shuǐ cáo,bồn rửa bát,7
模,模式,mó shì,mô hình,3
模,模范,mó fàn,mẫu mực,3
模,模型,mó xíng,mô hình,4
模,规模,guī mó,quy mô,4
模,大规模,dà guī mó,quy mô lớn,4
模,模特儿,mó tèr,người mẫu,4
模,模仿,mó fǎng,bắt chước,5
模,模特,mó tè,người mẫu,5
模,模糊,mó hu,mơ hồ,5
模,一模一样,yī mú yī yàng,giống nhau,5
模,模样,mú yàng,vẻ ngoài,6
模,楷模,kǎi mó,hình mẫu,7
模,模拟,mó nǐ,mô phỏng,7
模,大模大样,dà mú dà yàng,tự hào,7
模,像模像样,xiàng mú xiàng yàng,"Có vẻ ra dáng, có vẻ tươm tất, đàng hoàng",8
模特,模特儿,mó tèr,người mẫu,4
横,物欲横流,wù yù héng liú,"vật chất tràn lan, ham muốn vật chất ngập tràn",6
横,横向,héng xiàng,ngang,7
横,横七竖八,héng qī shù bā,bừa bộn,7
横,纵横交错,zòng héng jiāo cuò,xếp chéo,7
橄,橄榄,gǎn lǎn,ô liu (cây/quả); quả trám,4
橘,橘子,jú zi,quýt,2
橙,橙汁,chéng zhī,nước cam,7
橡,橡皮,xiàng pí,cao su,4
橡,橡子,xiàng zǐ,quả sồi,5
橡,橡胶,xiàng jiāo,cao su,7
橱,书橱,shū chú,tủ sách,7
欠,打哈欠,dǎ hā qian,Ngáp,3
欠,拖欠,tuō qiàn,nợ,7
欠,欠条,qiàn tiáo,giấy nợ,7
