target,pinyin,meaning,status,mainForm,name,resolutionType,componentOfCount
榨,zhà,vắt,resolved,木,Bộ Mộc,record-radical,24
槐,huái,cây hoè (Sophora japonica),resolved,木,Bộ Mộc,record-radical,24
槛,jiàn,lan can; tay vịn,resolved,木,Bộ Mộc,record-radical,24
槽,cáo,"máng ăn, máng nước",resolved,木,Bộ Mộc,record-radical,24
模,mó,bắt chước; mô hình,resolved,木,Bộ Mộc,record-radical,24
横,héng,ngang,resolved,木,Bộ Mộc,record-radical,24
橄,gǎn,quả oliu,resolved,木,Bộ Mộc,record-radical,24
橘,jú,quýt (Citrus reticulata); quýt hồng,resolved,木,Bộ Mộc,record-radical,24
橙,chéng,cây cam; màu cam,resolved,木,Bộ Mộc,record-radical,24
橡,xiàng,cây sồi; Quercus serrata,resolved,木,Bộ Mộc,record-radical,24
橱,chú,tủ quần áo; tủ đựng,not-resolved,,,not-resolved,0
欠,qiàn,"nợ, thiếu",resolved,欠,Bộ Khiếm,self-radical,8
次,cì,lần,resolved,二,Bộ Nhị,record-radical,2
欢,huān,biến thể của 歡|欢[huan1],resolved,欠,Bộ Khiếm,record-radical,8
欣,xīn,vui vẻ,resolved,欠,Bộ Khiếm,record-radical,8
欧,Oū,châu Âu (viết tắt của 歐洲|欧洲[Ou1zhou1]); họ [Ou1],resolved,欠,Bộ Khiếm,record-radical,8
欲,yù,khao khát; thèm muốn,resolved,欠,Bộ Khiếm,record-radical,8
欺,qī,lợi dụng không công bằng; lừa dối,resolved,欠,Bộ Khiếm,record-radical,8
款,kuǎn,mục; đoạn,resolved,士,Bộ Sĩ,record-radical,3
歇,xiē,nghỉ ngơi,resolved,欠,Bộ Khiếm,record-radical,8
歉,qiàn,xin lỗi; hối tiếc,resolved,欠,Bộ Khiếm,record-radical,8
歌,gē,bài hát,resolved,欠,Bộ Khiếm,record-radical,8
止,zhǐ,dừng lại,resolved,止,Bộ Chỉ,self-radical,8
正,zhèng,chính xác,not-resolved,,,not-resolved,0
此,cǐ,này,resolved,止,Bộ Chỉ,record-radical,8
步,bù,bước,resolved,止,Bộ Chỉ,record-radical,8
武,Wǔ,họ [Wu3],resolved,戈,Bộ Qua,record-radical,7
歧,qí,phân kỳ; đường nhánh,resolved,止,Bộ Chỉ,record-radical,8
歪,wāi,cong,not-resolved,,,not-resolved,0
歹,dǎi,xấu; độc ác,resolved,歹,Bộ Đãi,self-radical,5
死,sǐ,chết,resolved,歹,Bộ Đãi,record-radical,5
歼,jiān,"tiêu diệt; viết tắt của 殲擊機|歼击机[jian1 ji1 ji1], máy bay chiến đấu",not-resolved,,,not-resolved,0
殃,yāng,tai họa,resolved,歹,Bộ Đãi,record-radical,5
殊,shū,khác; độc đáo,resolved,歹,Bộ Đãi,record-radical,5
残,cán,còn lại,resolved,歹,Bộ Đãi,record-radical,5
殖,zhí,sinh trưởng; sinh sản,resolved,歹,Bộ Đãi,record-radical,5
殳,shū,"Cái thù, một thứ đồ binh dài một trượng hai thước, không có mũi nhọn",resolved,殳,Bộ Thù,self-radical,3
殴,Oū,họ [Ou1],resolved,殳,Bộ Thù,record-radical,3
段,duàn,đoạn,resolved,石,Bộ Thạch,record-radical,24
殷,Yīn,"họ [Yin1]; tên triều đại cuối thời Thương, sau khi dời đến Yinxu 殷墟[Yin1xu1] ở Hà Nam ngày nay",not-resolved,,,not-resolved,0
殿,diàn,đại sảnh cung điện,not-resolved,,,not-resolved,0
毁,huǐ,phá hủy,not-resolved,,,not-resolved,0
毅,yì,kiên định và quả quyết; vững vàng,resolved,殳,Bộ Thù,record-radical,3
毋,wú,"Chớ, đừng",resolved,毋,Bộ Vô,self-radical,0
母,mǔ,cái,not-resolved,,,not-resolved,0
每,měi,mỗi,not-resolved,,,not-resolved,0
毒,dú,độc,resolved,屮,Bộ Triệt,record-radical,2
比,bǐ,so sánh; hơn,resolved,比,Bộ Tỷ,self-radical,2
毕,Bì,họ [Bi4],resolved,比,Bộ Tỷ,record-radical,2
毙,bì,chết; bắn chết,not-resolved,,,not-resolved,0
毛,máo,mao,resolved,毛,Bộ Mao,self-radical,3
毫,háo,lông; bút vẽ,resolved,毛,Bộ Mao,record-radical,3
毯,tǎn,mền; thảm,resolved,毛,Bộ Mao,record-radical,3
氏,shì,tên thị tộc; tên thời con gái,resolved,氏,Bộ Thị,self-radical,0
民,Mín,họ [Min2],not-resolved,,,not-resolved,0
氓,máng,dùng trong 流氓[liu2 mang2],not-resolved,,,not-resolved,0
气,qì,"khí, không khí, hơi nước",resolved,气,Bộ Khí,self-radical,2
氛,fēn,khí độc; hơi,resolved,气,Bộ Khí,record-radical,2
氧,yǎng,oxy,resolved,气,Bộ Khí,record-radical,2
水,shuǐ,nước,resolved,水,Bộ Thủy,self-radical,24
氵,shuǐ,"Nước, chất lỏng, sông hồ.",resolved,水,Bộ Thủy,radical-variant,24
永,yǒng,mãi mãi; luôn luôn,not-resolved,,,not-resolved,0
汁,zhī,nước ép,resolved,水,Bộ Thủy,record-radical,24
求,qiú,cầu xin,not-resolved,,,not-resolved,0
汇,huì,hợp lưu,resolved,匚,Bộ Phương,record-radical,5
汉,Hàn,dân tộc Hán; tiếng Trung Quốc,resolved,水,Bộ Thủy,record-radical,24
汗,hàn,mồ hôi,resolved,水,Bộ Thủy,record-radical,24
汛,xùn,nước dâng lụt; lũ lụt,resolved,水,Bộ Thủy,record-radical,24
江,jiāng,sông,resolved,水,Bộ Thủy,record-radical,24
池,Chí,họ [Chi2],resolved,水,Bộ Thủy,record-radical,24
污,wū,biến thể của 污[wu1],resolved,水,Bộ Thủy,record-radical,24
汤,tāng,"canh, súp",resolved,水,Bộ Thủy,record-radical,24
汪,Wāng,họ [Wang1],resolved,水,Bộ Thủy,record-radical,24
汰,tài,loại bỏ; loại trừ,resolved,水,Bộ Thủy,record-radical,24
汹,xiōng,dữ dội; ào ạt,resolved,水,Bộ Thủy,record-radical,24
汽,qì,hơi nước; hơi,resolved,水,Bộ Thủy,record-radical,24
沃,wò,màu mỡ; giàu có,resolved,水,Bộ Thủy,record-radical,24
沉,chén,chìm,resolved,水,Bộ Thủy,record-radical,24
沏,qī,pha,resolved,水,Bộ Thủy,record-radical,24
沐,mù,tắm; rửa,resolved,水,Bộ Thủy,record-radical,24
沙,shā,cát,resolved,水,Bộ Thủy,record-radical,24
沛,pèi,dồi dào; phong phú,not-resolved,,,not-resolved,0
沟,gōu,mương; rãnh,resolved,水,Bộ Thủy,record-radical,24
没,méi,không có,resolved,水,Bộ Thủy,record-radical,24
沧,cāng,xanh lục hoặc xanh da trời (của nước); rộng lớn (của nước),resolved,水,Bộ Thủy,record-radical,24
沫,mò,bọt; bọt xà phòng,resolved,水,Bộ Thủy,record-radical,24
沮,jǔ,phá hủy; ngừng,resolved,水,Bộ Thủy,record-radical,24
河,hé,sông,resolved,水,Bộ Thủy,record-radical,24
沸,fèi,đun sôi,resolved,水,Bộ Thủy,record-radical,24
油,yóu,dầu,resolved,水,Bộ Thủy,record-radical,24
治,zhì,chữa trị,resolved,水,Bộ Thủy,record-radical,24
沼,zhǎo,ao; hồ,resolved,水,Bộ Thủy,record-radical,24
沽,Gū,viết tắt của Thiên Tân 天津 (cũng gọi 津沽),resolved,水,Bộ Thủy,record-radical,24
沾,zhān,thấm,resolved,水,Bộ Thủy,record-radical,24
沿,yán,theo,resolved,水,Bộ Thủy,record-radical,24
泄,xiè,xả,resolved,水,Bộ Thủy,record-radical,24
泉,quán,suối (dòng nước nhỏ); miệng suối,not-resolved,,,not-resolved,0
泊,bó,thả neo; cập bến,resolved,水,Bộ Thủy,record-radical,24
泌,mì,dùng trong 泌陽|泌阳[Bi4 yang2],resolved,水,Bộ Thủy,record-radical,24
法,fǎ,luật,resolved,水,Bộ Thủy,record-radical,24
泛,fàn,biến thể của 泛[fan4],resolved,水,Bộ Thủy,record-radical,24
泡,pào,mụn nước,resolved,水,Bộ Thủy,record-radical,24
波,Bō,Ba Lan; Tiếng Ba Lan,resolved,水,Bộ Thủy,record-radical,24
泣,qì,khóc nức nở,resolved,水,Bộ Thủy,record-radical,24
泥,ní,bùn,resolved,水,Bộ Thủy,record-radical,24
注,zhù,tập trung,resolved,水,Bộ Thủy,record-radical,24
泪,lèi,nước mắt,resolved,水,Bộ Thủy,record-radical,24
泰,Tài,núi Thái 泰山[Tai4 Shan1] ở Sơn Đông; viết tắt của Thái Lan,not-resolved,,,not-resolved,0
泳,yǒng,bơi; lội,resolved,水,Bộ Thủy,record-radical,24
泻,xiè,chảy ra,resolved,水,Bộ Thủy,record-radical,24
泼,pō,đổ,resolved,水,Bộ Thủy,record-radical,24
泽,zé,hồ; bể (nước),resolved,水,Bộ Thủy,record-radical,24
洁,jié,sạch sẽ,resolved,水,Bộ Thủy,record-radical,24
洋,yáng,ngoại quốc,resolved,水,Bộ Thủy,record-radical,24
洒,sǎ,"tưới, rắc, phun",resolved,水,Bộ Thủy,record-radical,24
洗,xǐ,rửa,resolved,水,Bộ Thủy,record-radical,24
洞,dòng,lỗ,resolved,水,Bộ Thủy,record-radical,24
津,jīn,viết tắt của Thiên Tân 天津[Tian1 jin1],resolved,水,Bộ Thủy,record-radical,24
洪,Hóng,họ [Hong2],not-resolved,,,not-resolved,0
洲,zhōu,lục địa; đảo trong sông,resolved,水,Bộ Thủy,record-radical,24
活,huó,sống; sống,resolved,水,Bộ Thủy,record-radical,24
洽,qià,phù hợp; liên hệ,not-resolved,,,not-resolved,0
派,pài,phái đi,resolved,水,Bộ Thủy,record-radical,24
流,liú,dòng chảy; chảy,resolved,水,Bộ Thủy,record-radical,24
浅,qiǎn,nông,resolved,水,Bộ Thủy,record-radical,24
浆,jiāng,"nước cốt, bột nhão, hồ",resolved,水,Bộ Thủy,record-radical,24
浇,jiāo,tưới,resolved,水,Bộ Thủy,record-radical,24
浊,zhuó,đục; nhầy,not-resolved,,,not-resolved,0
测,cè,phỏng đoán,resolved,水,Bộ Thủy,record-radical,24
济,Jǐ,dùng trong địa danh liên quan đến sông Tế 濟水|济水[Ji3 Shui3]; họ [Ji3],resolved,水,Bộ Thủy,record-radical,24
浏,liú,trong; sâu (về nước),resolved,水,Bộ Thủy,record-radical,24
浑,hún,vẩn đục; đục ngầu; ngu dốt; ngớ ngẩn,resolved,水,Bộ Thủy,record-radical,24
浓,nóng,"dày, đặc",resolved,水,Bộ Thủy,record-radical,24
浩,hào,to lớn; rộng lớn (nước),resolved,水,Bộ Thủy,record-radical,24
浪,làng,sóng,resolved,水,Bộ Thủy,record-radical,24
浮,fú,nổi,resolved,水,Bộ Thủy,record-radical,24
浴,yù,tắm; tắm rửa,resolved,水,Bộ Thủy,record-radical,24
海,hǎi,biển,resolved,水,Bộ Thủy,record-radical,24
浸,jìn,nhúng; ngâm,resolved,水,Bộ Thủy,record-radical,24
涂,tú,"sơn, bôi lên",resolved,水,Bộ Thủy,record-radical,24
消,xiāo,biến mất,resolved,水,Bộ Thủy,record-radical,24
涉,shè,(văn học) lội qua một vùng nước; (hình thức kết hợp) trải nghiệm,not-resolved,,,not-resolved,0
涌,yǒng,tuôn trào,resolved,水,Bộ Thủy,record-radical,24
涕,tì,"Nước mắt, nước mũi (thường dùng trong từ ghép)",resolved,水,Bộ Thủy,record-radical,24
涛,tāo,sóng lớn; âm đọc ở Đài Loan: [tao2],resolved,水,Bộ Thủy,record-radical,24
涝,lào,lụt,resolved,水,Bộ Thủy,record-radical,24
涡,guō,tên một con sông,not-resolved,,,not-resolved,0
涤,dí,rửa; dọn sạch,resolved,水,Bộ Thủy,record-radical,24
润,rùn,ẩm ướt,resolved,水,Bộ Thủy,record-radical,24
涨,zhǎng,tăng,resolved,水,Bộ Thủy,record-radical,24
涩,sè,"Chát (vị); rít, khó trôi (cảm giác); khó chịu, ngượng ngùng",not-resolved,,,not-resolved,0
涮,shuàn,chần,resolved,水,Bộ Thủy,record-radical,24
涯,yá,bờ; chân trời,resolved,水,Bộ Thủy,record-radical,24
液,yè,chất lỏng; chất dịch,resolved,水,Bộ Thủy,record-radical,24
涵,hán,chứa; bao gồm,resolved,水,Bộ Thủy,record-radical,24
淀,diàn,hồ cạn,resolved,水,Bộ Thủy,record-radical,24
淆,xiáo,biến thể của 淆[xiao2],resolved,水,Bộ Thủy,record-radical,24
淇,qí,tên một con sông,resolved,水,Bộ Thủy,record-radical,24
淋,lín,ướt sũng,resolved,水,Bộ Thủy,record-radical,24
淌,tǎng,nhỏ giọt,resolved,水,Bộ Thủy,record-radical,24
淘,táo,nghịch ngợm,resolved,水,Bộ Thủy,record-radical,24
淡,dàn,nhạt,resolved,水,Bộ Thủy,record-radical,24
深,shēn,sâu; sâu sắc,resolved,水,Bộ Thủy,record-radical,24
淳,chún,chân thật; tinh khiết,resolved,水,Bộ Thủy,record-radical,24
混,hùn,trộn,resolved,水,Bộ Thủy,record-radical,24
淹,yān,ngập lụt,resolved,水,Bộ Thủy,record-radical,24
添,tiān,thêm,resolved,水,Bộ Thủy,record-radical,24
清,qīng,"rõ ràng, trong sáng",resolved,水,Bộ Thủy,record-radical,24
渊,yuān,hồ sâu; sâu,resolved,水,Bộ Thủy,record-radical,24
渐,jiān,thấm nhuần,resolved,水,Bộ Thủy,record-radical,24
渔,yú,ngư dân; câu cá,not-resolved,,,not-resolved,0
渗,shèn,"thấm, ngấm",resolved,水,Bộ Thủy,record-radical,24
渠,Qú,họ [Qu2],not-resolved,,,not-resolved,0
渡,dù,qua sông,resolved,水,Bộ Thủy,record-radical,24
渣,zhā,xỉ (trong khai thác mỏ hoặc nấu chảy kim loại); cặn bã,resolved,水,Bộ Thủy,record-radical,24
温,Wēn,họ [Wen1],resolved,水,Bộ Thủy,record-radical,24
港,gǎng,cảng,resolved,水,Bộ Thủy,record-radical,24
渴,kě,khát,resolved,水,Bộ Thủy,record-radical,24
游,yóu,bơi,resolved,水,Bộ Thủy,record-radical,24
渺,miǎo,rộng lớn (của một vùng nước); xa xăm và mơ hồ,resolved,水,Bộ Thủy,record-radical,24
湖,hú,hồ,resolved,水,Bộ Thủy,record-radical,24
湾,wān,vịnh; vũng,resolved,水,Bộ Thủy,record-radical,24
湿,shī,ướt,resolved,水,Bộ Thủy,record-radical,24
溃,kuì,dùng trong 潰膿|溃脓[hui4 nong2]; cách phát âm ở Đài Loan [kui4],resolved,水,Bộ Thủy,record-radical,24
溅,jiàn,"rắc, bắn",resolved,水,Bộ Thủy,record-radical,24
溉,gài,tưới tiêu,resolved,水,Bộ Thủy,record-radical,24
源,yuán,gốc; rễ,resolved,水,Bộ Thủy,record-radical,24
溜,liū,trượt đi,resolved,水,Bộ Thủy,record-radical,24
溢,yì,tràn,resolved,水,Bộ Thủy,record-radical,24
溪,xī,suối nhỏ,resolved,水,Bộ Thủy,record-radical,24
溯,sù,đi ngược dòng; theo dấu nguồn gốc,not-resolved,,,not-resolved,0
溶,róng,hoà tan; có thể hoà tan,resolved,水,Bộ Thủy,record-radical,24
溺,nì,chết đuối; chìm đắm,resolved,水,Bộ Thủy,record-radical,24
滋,zī,sinh trưởng; bồi bổ,resolved,水,Bộ Thủy,record-radical,24
滑,huá,trượt; trơn,resolved,水,Bộ Thủy,record-radical,24
滔,tāo,(hình thức kết hợp) làm ngập lụt; lũ lụt,resolved,水,Bộ Thủy,record-radical,24
滚,gǔn,lăn,resolved,水,Bộ Thủy,record-radical,24
滞,zhì,chậm chạp,resolved,水,Bộ Thủy,record-radical,24
满,mǎn,đầy đủ,resolved,水,Bộ Thủy,record-radical,24
滤,lǜ,lọc; lọc qua,resolved,水,Bộ Thủy,record-radical,24
滥,làn,tràn lan; quá mức,resolved,水,Bộ Thủy,record-radical,24
滨,bīn,"(hình thức kết hợp) mép nước; bờ; bờ biển; (hình thức kết hợp) giáp với (hồ, sông v.v.)",resolved,水,Bộ Thủy,record-radical,24
滩,tān,bãi biển; bãi cạn,not-resolved,,,not-resolved,0
滴,dī,giọt,resolved,水,Bộ Thủy,record-radical,24
漂,piāo,nổi,resolved,水,Bộ Thủy,record-radical,24
漆,qī,sơn,not-resolved,,,not-resolved,0
漉,lù,lọc chất lỏng,resolved,水,Bộ Thủy,record-radical,24
漏,lòu,"rò rỉ, để lộ",not-resolved,,,not-resolved,0
漓,lí,lộp độp (tiếng mưa); thấm qua,resolved,水,Bộ Thủy,record-radical,24
演,yǎn,"biểu diễn (vở kịch, v.v.); dàn dựng (một buổi diễn); (hình thức kết hợp) phát triển; diễn ra; thực hiện (một nhiệm vụ)",resolved,水,Bộ Thủy,record-radical,24
漠,mò,sa mạc; không quan tâm,resolved,水,Bộ Thủy,record-radical,24
漩,xuán,xoáy nước; lốc xoáy,not-resolved,,,not-resolved,0
漫,màn,tràn ngập,resolved,水,Bộ Thủy,record-radical,24
漾,yàng,tràn ra; gợn sóng,resolved,水,Bộ Thủy,record-radical,24
潇,xiāo,(nước) sâu và trong; (gió mưa) gào thét dữ dội,resolved,水,Bộ Thủy,record-radical,24
潜,qián,ẩn; bí mật,resolved,水,Bộ Thủy,record-radical,24
潦,lǎo,ngập lụt; mưa to,resolved,水,Bộ Thủy,record-radical,24
潭,Tán,họ [Tan2],resolved,水,Bộ Thủy,record-radical,24
潮,cháo,thuỷ triều,resolved,水,Bộ Thủy,record-radical,24
澄,chéng,biến thể của 澄[cheng2],resolved,水,Bộ Thủy,record-radical,24
澈,chè,trong (nước); kỹ lưỡng,resolved,水,Bộ Thủy,record-radical,24
澜,lán,nước dâng,resolved,水,Bộ Thủy,record-radical,24
澡,zǎo,tắm,resolved,水,Bộ Thủy,record-radical,24
澳,Aò,Ma Cao (viết tắt của 澳門|澳门[Ao4 men2]); Úc (viết tắt của 澳大利亞|澳大利亚[Ao4 da4 li4 ya4]),resolved,水,Bộ Thủy,record-radical,24
激,jī,khơi dậy; kích động,resolved,水,Bộ Thủy,record-radical,24
濒,bīn,tiếp cận; giáp với,resolved,水,Bộ Thủy,record-radical,24
瀑,bào,mưa rào (mưa),not-resolved,,,not-resolved,0
灌,guàn,đổ,resolved,水,Bộ Thủy,record-radical,24
火,huǒ,lửa,resolved,火,Bộ Hỏa,self-radical,24
灬,huǒ,"Lửa, nóng, ánh sáng.",resolved,火,Bộ Hỏa,radical-variant,24
灭,miè,tắt,resolved,火,Bộ Hỏa,record-radical,24
灯,dēng,đèn,resolved,火,Bộ Hỏa,record-radical,24
灰,huī,màu xám,resolved,又,Bộ Hựu,record-radical,17
灵,líng,linh hồn,resolved,火,Bộ Hỏa,record-radical,24
灶,zào,Bếp lò,not-resolved,,,not-resolved,0
灸,jiǔ,thủ thuật cứu ngải (y học cổ truyền),resolved,火,Bộ Hỏa,record-radical,24
灼,zhuó,đốt; thiêu; cháy xém; (hình thức kết hợp) sáng; phát sáng,resolved,火,Bộ Hỏa,record-radical,24
灾,zāi,thảm họa,resolved,宀,Bộ Miên,record-radical,24
灿,càn,rực rỡ; sáng,resolved,火,Bộ Hỏa,record-radical,24
炉,lú,bếp; lò,not-resolved,,,not-resolved,0
炊,chuī,nấu ăn,resolved,火,Bộ Hỏa,record-radical,24
炎,yán,ngọn lửa; viêm,resolved,火,Bộ Hỏa,record-radical,24
炒,chǎo,"xào, chiên",resolved,火,Bộ Hỏa,record-radical,24
炖,dùn,hầm,resolved,火,Bộ Hỏa,record-radical,24
炙,zhì,nướng; quay,resolved,火,Bộ Hỏa,record-radical,24
炫,xuàn,làm chói mắt; khoe khoang,resolved,火,Bộ Hỏa,record-radical,24
炬,jù,ngọn đuốc,resolved,火,Bộ Hỏa,record-radical,24
炭,tàn,than củi,not-resolved,,,not-resolved,0
炮,pào,pháo,resolved,火,Bộ Hỏa,record-radical,24
炸,zhá,chiên ngập dầu,resolved,火,Bộ Hỏa,record-radical,24
点,diǎn,giờ,not-resolved,,,not-resolved,0
炼,liàn,luyện,resolved,火,Bộ Hỏa,record-radical,24
烁,shuò,sáng; rực rỡ,not-resolved,,,not-resolved,0
烂,làn,thối,resolved,火,Bộ Hỏa,record-radical,24
烈,liè,nồng nhiệt; mãnh liệt,resolved,火,Bộ Hỏa,record-radical,24
烘,hōng,nướng; hơ nóng,resolved,火,Bộ Hỏa,record-radical,24
烙,lào,đóng dấu; ủi,resolved,火,Bộ Hỏa,record-radical,24
烛,zhú,nến; (văn học) chiếu sáng,resolved,火,Bộ Hỏa,record-radical,24
烟,yān,khói,resolved,火,Bộ Hỏa,record-radical,24
烤,kǎo,nướng,resolved,火,Bộ Hỏa,record-radical,24
烦,fán,phiền,resolved,火,Bộ Hỏa,record-radical,24
烧,shāo,đốt,resolved,火,Bộ Hỏa,record-radical,24
烫,tàng,"đốt, bỏng; nóng",resolved,火,Bộ Hỏa,record-radical,24
烬,jìn,(dạng kết hợp) than tàn; tro,not-resolved,,,not-resolved,0
热,rè,nóng,resolved,火,Bộ Hỏa,record-radical,24
烹,pēng,phương pháp nấu; nấu sôi sống ai (hình phạt tử hình trong triều đại Trung Quốc),resolved,火,Bộ Hỏa,record-radical,24
焉,yān,ở đâu; như thế nào,not-resolved,,,not-resolved,0
焊,hàn,hàn,resolved,火,Bộ Hỏa,record-radical,24
焐,wù,hâm nóng,resolved,火,Bộ Hỏa,record-radical,24
焕,huàn,rực rỡ; sáng ngời,resolved,火,Bộ Hỏa,record-radical,24
焚,fén,đốt,not-resolved,,,not-resolved,0
焦,jiāo,cháy,resolved,火,Bộ Hỏa,record-radical,24
焰,yàn,ngọn lửa,resolved,火,Bộ Hỏa,record-radical,24
然,rán,đúng; phải,resolved,火,Bộ Hỏa,record-radical,24
煌,huáng,rực rỡ,resolved,火,Bộ Hỏa,record-radical,24
煎,jiān,rán,resolved,火,Bộ Hỏa,record-radical,24
煤,méi,than; LT:塊|块[kuai4],resolved,火,Bộ Hỏa,record-radical,24
照,zhào,chụp ảnh,resolved,火,Bộ Hỏa,record-radical,24
煮,zhǔ,đun sôi,resolved,火,Bộ Hỏa,record-radical,24
煲,bāo,đun sôi,resolved,火,Bộ Hỏa,record-radical,24
煽,shān,quạt lửa; kích động,not-resolved,,,not-resolved,0
熄,xī,dập tắt; tắt (lửa),not-resolved,,,not-resolved,0
熊,xióng,gấu,not-resolved,,,not-resolved,0
熏,xūn,xông khói,resolved,火,Bộ Hỏa,record-radical,24
熙,xī,biến thể của 熙[xi1],resolved,火,Bộ Hỏa,record-radical,24
熟,shú,chín,resolved,火,Bộ Hỏa,record-radical,24
熨,yùn,ủi,resolved,火,Bộ Hỏa,record-radical,24
熬,áo,nấu nhừ,resolved,火,Bộ Hỏa,record-radical,24
燃,rán,cháy; đốt,resolved,火,Bộ Hỏa,record-radical,24
燕,Yān,"Yên, một nước chư hầu của Chu ở hiện nay thuộc Hà Bắc và Liêu Ninh; bắc Hà Bắc",not-resolved,,,not-resolved,0
燥,zào,khô; khô cằn; nóng nảy; bực bội,resolved,火,Bộ Hỏa,record-radical,24
爆,bào,xào nhanh,resolved,火,Bộ Hỏa,record-radical,24
爪,zhǎo,chân của chim hoặc động vật; chân,resolved,爪,Bộ Trảo,self-radical,3
爬,pá,leo,resolved,爪,Bộ Trảo,record-radical,3
爱,ài,yêu; tình yêu,not-resolved,,,not-resolved,0
爵,jué,đồ đựng rượu bằng đồng cổ có 3 chân và quai vòng; quý tộc,not-resolved,,,not-resolved,0
父,fù,cha,resolved,父,Bộ Phụ,self-radical,3
爷,yé,ông; ngài,resolved,父,Bộ Phụ,record-radical,3
爸,bà,cha; ba,resolved,父,Bộ Phụ,record-radical,3
爹,diē,"cha, bố",resolved,父,Bộ Phụ,record-radical,3
爻,yáo,"Vạch bát quái, mỗi quẻ trong Kinh Dịch chia ra sáu hào",resolved,爻,Bộ Hào,self-radical,0
爽,shuǎng,cảm thấy tốt,not-resolved,,,not-resolved,0
爿,pán,"Tấm ván, tấm gỗ xẻ ra, nửa bên trái gọi là ""tường""",resolved,爿,Bộ,self-radical,0
片,piàn,miếng,resolved,片,Bộ Phiến,self-radical,2
版,bǎn,một đăng ký; khối in,resolved,片,Bộ Phiến,record-radical,2
牌,pái,nhãn hiệu,resolved,片,Bộ Phiến,record-radical,2
牙,yá,răng,resolved,牙,Bộ Nha,self-radical,0
牛,niú,bò,resolved,牛,Bộ Ngưu,self-radical,6
牜,niú,trâu.,resolved,牛,Bộ Ngưu,radical-variant,6
牡,mǔ,"(chim, động vật hoặc thực vật) đực; chìa khóa",resolved,牛,Bộ Ngưu,record-radical,6
牢,láo,chuồng gia súc,not-resolved,,,not-resolved,0
牧,Mù,họ [Mu4],not-resolved,,,not-resolved,0
物,wù,"Vật, đồ vật, sự vật",resolved,牛,Bộ Ngưu,record-radical,6
牲,shēng,động vật nuôi; động vật hiến tế,resolved,牛,Bộ Ngưu,record-radical,6
牵,qiān,"kéo, lôi kéo",not-resolved,,,not-resolved,0
特,tè,đặc biệt,resolved,牛,Bộ Ngưu,record-radical,6
牺,xī,hy sinh,resolved,牛,Bộ Ngưu,record-radical,6
犬,quǎn,chó,resolved,犬,Bộ Khuyển,self-radical,24
犭,quǎn,con chó.,resolved,犬,Bộ Khuyển,radical-variant,24
犯,fàn,phạm,resolved,犬,Bộ Khuyển,record-radical,24
状,zhuàng,"trạng thái, điều kiện",resolved,犬,Bộ Khuyển,record-radical,24
犹,yóu,"Như, vẫn còn, giống như, do dự",resolved,犬,Bộ Khuyển,record-radical,24
狂,kuáng,hoang dã,resolved,犬,Bộ Khuyển,record-radical,24
狈,bèi,một loài sói huyền thoại; khốn đốn,resolved,犬,Bộ Khuyển,record-radical,24
狗,gǒu,con chó,resolved,犬,Bộ Khuyển,record-radical,24
狠,hěn,ác liệt; cứng rắn,resolved,犬,Bộ Khuyển,record-radical,24
狡,jiǎo,xảo quyệt; láu cá,resolved,犬,Bộ Khuyển,record-radical,24
独,dú,"một mình, đơn độc",resolved,犬,Bộ Khuyển,record-radical,24
狭,xiá,hẹp; hẹp hòi,resolved,犬,Bộ Khuyển,record-radical,24
狮,shī,(dạng kết hợp) sư tử,resolved,犬,Bộ Khuyển,record-radical,24
狱,yù,nhà tù,resolved,言,Bộ Ngôn,record-radical,24
狼,láng,sói,resolved,犬,Bộ Khuyển,record-radical,24
猎,liè,"săn bắn, săn lùng",resolved,犬,Bộ Khuyển,record-radical,24
猖,chāng,hung dữ,resolved,犬,Bộ Khuyển,record-radical,24
猛,měng,hung dữ,resolved,犬,Bộ Khuyển,record-radical,24
猜,cāi,đoán,resolved,犬,Bộ Khuyển,record-radical,24
猝,cù,"Đột ngột, bất ngờ (thường dùng trong từ ghép: 猝死, 猝不及防)",resolved,犬,Bộ Khuyển,record-radical,24
猩,xīng,vượn,resolved,犬,Bộ Khuyển,record-radical,24
猪,zhū,lợn,resolved,犬,Bộ Khuyển,record-radical,24
猫,māo,con mèo,resolved,犬,Bộ Khuyển,record-radical,24
献,xiàn,dâng hiến,not-resolved,,,not-resolved,0
猴,hóu,khỉ; LT:隻|只[zhi1],resolved,犬,Bộ Khuyển,record-radical,24
猾,huá,xảo quyệt,resolved,犬,Bộ Khuyển,record-radical,24
玄,xuán,huyền bí,resolved,玄,Bộ Huyền,self-radical,0
率,lǜ,tỷ lệ,not-resolved,,,not-resolved,0
玉,yù,ngọc,resolved,玉,Bộ Ngọc,self-radical,1
王,wáng,"vua, quốc vương",not-resolved,,,not-resolved,0
玩,wán,chơi với,not-resolved,,,not-resolved,0
玫,méi,(ngọc đẹp); dùng trong 玫瑰[mei2 gui1],not-resolved,,,not-resolved,0
环,huán,bao quanh,not-resolved,,,not-resolved,0
现,xiàn,xuất hiện; hiện tại,not-resolved,,,not-resolved,0
玻,bō,thủy tinh,not-resolved,,,not-resolved,0
珍,zhēn,vật quý; báu vật,not-resolved,,,not-resolved,0
珠,zhū,hạt; trân châu,not-resolved,,,not-resolved,0
