char,tier,pinyin,meaningVi,missing,source
窃,A,qiè,ăn trộm; một cách bí mật,Hán Việt,chars/7A83.json
窄,A,zhǎi,hẹp,Hán Việt,chars/7A84.json
窅,C,yǎo,mắt trũng; sâu và rỗng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7A85.json
窆,B,biǎn,đặt quan tài vào mộ,"từ liên quan, câu liên quan, Hán Việt",chars/7A86.json
窈,B,yǎo,(văn học) sâu; uyên thâm,câu liên quan,chars/7A88.json
窊,C,wā,đầm trũng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7A8A.json
窋,C,zhú,trong hố,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7A8B.json
窌,C,jiào,hầm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7A8C.json
窎,C,diào,(văn học) xa xôi; sâu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7A8E.json
窑,C,yáo,lò nung,"bộ thủ, câu liên quan, Hán Việt",chars/7A91.json
窔,C,yǎo,tối; sâu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7A94.json
窕,B,tiǎo,"yên tĩnh và hẻo lánh; nhẹ nhàng, duyên dáng và thanh lịch",câu liên quan,chars/7A95.json
窖,A,jiào,hầm chứa,Hán Việt,chars/7A96.json
窜,B,cuàn,trốn,"câu liên quan, Hán Việt",chars/7A9C.json
窝,A,wō,tổ,Hán Việt,chars/7A9D.json
窞,C,dàn,hầm; hang,"bộ thủ, từ liên quan, câu liên quan",chars/7A9E.json
窟,A,kū,hang; lỗ,Hán Việt,chars/7A9F.json
窠,B,kē,tổ,"câu liên quan, Hán Việt",chars/7AA0.json
窣,B,sù,dùng trong 窸窣[xi1 su1]; tiếng Đài Loan đọc là [su4],"từ liên quan, câu liên quan, Hán Việt",chars/7AA3.json
窥,A,kuī,nhìn trộm; dò xét,Hán Việt,chars/7AA5.json
窦,C,Dòu,họ [Dou4],"bộ thủ, câu liên quan, Hán Việt",chars/7AA6.json
窨,B,xūn,ướp trà với hoa; biến thể của 熏[xun1],"câu liên quan, Hán Việt",chars/7AA8.json
窬,B,yú,lỗ trên tường,"từ liên quan, câu liên quan, Hán Việt",chars/7AAC.json
窭,B,jù,nghèo; nông thôn,"từ liên quan, câu liên quan, Hán Việt",chars/7AAD.json
窳,B,yǔ,xấu; vô dụng,"từ liên quan, câu liên quan, Hán Việt",chars/7AB3.json
窴,C,tián,lấp vào,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AB4.json
窸,B,xī,dùng trong 窸窣[xi1 su1],"từ liên quan, câu liên quan, Hán Việt",chars/7AB8.json
窾,B,cuàn,che giấu; ẩn nấp,"từ liên quan, câu liên quan, Hán Việt",chars/7ABE.json
窿,A,lóng,khoang; lỗ,Hán Việt,chars/7ABF.json
竁,C,cuì,đào lỗ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AC1.json
竃,C,zào,biến thể cũ của 灶[zao4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AC3.json
竑,C,hóng,lớn; ước lượng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AD1.json
竖,C,shù,nét dọc,"bộ thủ, Hán Việt",chars/7AD6.json
竜,C,lóng,biến thể tiếng Nhật của 龍|龙,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7ADC.json
竞,C,jìng,cạnh tranh; đấu tranh,"bộ thủ, Hán Việt",chars/7ADE.json
竡,C,bǎi,hectolít (cũ),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AE1.json
竣,A,jùn,hoàn thành; xong,Hán Việt,chars/7AE3.json
竦,C,sǒng,cung kính; kinh hãi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AE6.json
竺,C,Zhú,"họ [Zhu2]; viết tắt của 天竺[Tian1zhu2], Ấn Độ (đặc biệt trong bối cảnh nhà Đường hoặc Phật giáo)","bộ thủ, câu liên quan, Hán Việt",chars/7AFA.json
竽,C,yú,"nhạc cụ hơi lá lưỡi tự do tương tự như sheng 笙[sheng1], được sử dụng ở Trung Quốc cổ đại","bộ thủ, câu liên quan, Hán Việt",chars/7AFD.json
竾,C,chí,biến thể của 篪[chi2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7AFE.json
竿,C,gān,cây sào,bộ thủ,chars/7AFF.json
笀,C,máng,biến thể cũ của 芒[mang2]; râu cứng (của hạt),"bộ thủ, từ liên quan, câu liên quan",chars/7B00.json
笃,C,dǔ,nghiêm trọng (bệnh); thành thật,"bộ thủ, câu liên quan",chars/7B03.json
笄,C,jī,15 tuổi; trâm cài tóc búi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B04.json
笆,C,bā,vật làm bằng dải tre; hàng rào,"bộ thủ, câu liên quan, Hán Việt",chars/7B06.json
笈,C,jí,rương (đựng sách),"bộ thủ, từ liên quan, câu liên quan",chars/7B08.json
笉,C,qǐn,gương mặt tươi cười; dây tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B09.json
笊,C,zhào,vá cán dài đan thưa bằng tre,"bộ thủ, câu liên quan, Hán Việt",chars/7B0A.json
笋,C,sǔn,măng,"bộ thủ, câu liên quan, Hán Việt",chars/7B0B.json
笎,C,yuán,tre có đốm đen,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B0E.json
笏,C,hù,(cổ) thẻ nghi lễ (quan viên cầm khi thiết triều),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B0F.json
笐,C,gāng,tre đặt ngang khung gỗ để trữ ngũ cốc ở nơi khí hậu ẩm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B10.json
笑,C,xiào,cười; để cười,"bộ thủ, Hán Việt",chars/7B11.json
笓,C,pí,chải; lược răng nhỏ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B13.json
笔,C,bǐ,"Bút; Lượng từ cho các khoản tiền, các giao dịch.",bộ thủ,chars/7B14.json
笕,C,jiǎn,ống dẫn nước bằng tre; ống nước làm từ tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B15.json
笙,C,shēng,"sanh, nhạc cụ hơi có lam tự do với ống tre dọc","bộ thủ, câu liên quan",chars/7B19.json
笛,C,dí,sáo,bộ thủ,chars/7B1B.json
笞,C,chī,đánh bằng dải tre,"bộ thủ, câu liên quan, Hán Việt",chars/7B1E.json
笠,C,lì,nón lá tre,"bộ thủ, câu liên quan",chars/7B20.json
笤,C,tiáo,cái chổi,"bộ thủ, câu liên quan",chars/7B24.json
笥,C,sì,hộp vuông bằng tre để đựng thức ăn hoặc quần áo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B25.json
符,C,Fú,họ [Fu2],bộ thủ,chars/7B26.json
笨,C,bèn,ngốc,"bộ thủ, Hán Việt",chars/7B28.json
笪,C,Dá,họ [Da2],"bộ thủ, từ liên quan, câu liên quan",chars/7B2A.json
笫,C,zǐ,chiếu tre; chiếu giường,"bộ thủ, câu liên quan, Hán Việt",chars/7B2B.json
第,C,dì,thứ,bộ thủ,chars/7B2C.json
笭,C,líng,mành tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B2D.json
笮,C,zé,ván dưới ngói trên mái; hẹp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B2E.json
笰,C,fú,chổi lông,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B30.json
笱,C,gǒu,giỏ bẫy cá,"bộ thủ, từ liên quan, câu liên quan",chars/7B31.json
笲,C,fán,giỏ mây của cô dâu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B32.json
笳,C,jiā,còi làm bằng sậy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B33.json
笵,C,fàn,khuôn bằng tre,"bộ thủ, từ liên quan, câu liên quan",chars/7B35.json
笸,C,pǒ,rổ mâm phẳng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B38.json
笺,C,jiān,biến thể của 箋|笺[jian1],"bộ thủ, câu liên quan, Hán Việt",chars/7B3A.json
笻,C,qióng,biến thể của 筇[qiong2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B3B.json
笼,C,lóng,"khung bao quanh làm bằng tre, dây kim loại, v.v.; lồng; giỏ; giỏ hấp",bộ thủ,chars/7B3C.json
笾,C,biān,mâm tre dùng thời cổ đại để đựng đồ khô cho lễ tế hoặc yến tiệc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B3E.json
筀,C,guì,tre (cổ),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B40.json
筃,C,yīn,một loại tre; biến thể cũ của 茵[yin1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B43.json
筅,C,xiǎn,chổi tre để cọ rửa dụng cụ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B45.json
筇,C,qióng,(trong văn bản cổ) loại tre đôi khi dùng làm gậy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B47.json
筈,C,guā,đuôi mũi tên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B48.json
等,C,děng,đợi,bộ thủ,chars/7B49.json
筊,C,jiǎo,dây tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B4A.json
筋,C,jīn,cơ bắp,bộ thủ,chars/7B4B.json
筌,C,quán,bẫy cá bằng tre,"bộ thủ, câu liên quan, Hán Việt",chars/7B4C.json
筎,C,rú,vỏ ngoài mỏng của tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B4E.json
筏,C,fá,biến thể của 筏[fa2],"bộ thủ, câu liên quan",chars/7B4F.json
筐,C,kuāng,cái giỏ,"bộ thủ, câu liên quan, Hán Việt",chars/7B50.json
筑,C,zhù,xây dựng,bộ thủ,chars/7B51.json
筒,C,tǒng,ống,bộ thủ,chars/7B52.json
答,C,dā,"hình thức gắn liền có nghĩa giống như từ tự do 答[da2], dùng trong 答應|答应[da1 ying5], 答理[da1 li5] vv",bộ thủ,chars/7B54.json
筕,C,háng,xem 筕篖[hang2 tang2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B55.json
策,C,Cè,họ [Ce4],bộ thủ,chars/7B56.json
筘,C,kòu,(đơn vị đo bề rộng vải),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B58.json
筚,C,bì,liễu gai,"bộ thủ, câu liên quan, Hán Việt",chars/7B5A.json
筛,C,shāi,rây,bộ thủ,chars/7B5B.json
筜,C,dāng,xem 篔簹|筼筜[yun2 dang1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B5C.json
筝,C,zhēng,"tranh hoặc cổ tranh, một loại đàn dài có nhịp cầu di động, chơi bằng cách gảy dây",bộ thủ,chars/7B5D.json
筠,C,yún,vỏ tre,"bộ thủ, câu liên quan, Hán Việt",chars/7B60.json
筢,C,pá,cào tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B62.json
筤,C,láng,tre non,"bộ thủ, từ liên quan, câu liên quan",chars/7B64.json
筥,C,jǔ,giỏ tròn bằng tre,"bộ thủ, từ liên quan, câu liên quan",chars/7B65.json
筦,C,Guǎn,họ [Guan3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B66.json
筭,C,suàn,coi như; tính toán,"bộ thủ, từ liên quan, câu liên quan",chars/7B6D.json
筮,C,shì,bói bằng cỏ thi,"bộ thủ, từ liên quan, câu liên quan",chars/7B6E.json
筰,C,zuó,dây cáp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B70.json
筱,C,xiǎo,tre trúc lùn; tre mỏng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B71.json
筲,C,shāo,bàn chải nồi làm từ dải tre; giỏ đựng đũa,"bộ thủ, câu liên quan",chars/7B72.json
筳,C,tíng,cây trúc; con quay,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B73.json
筵,C,yán,chiếu tre để ngồi,"bộ thủ, câu liên quan, Hán Việt",chars/7B75.json
筷,C,kuài,đũa,"bộ thủ, Hán Việt",chars/7B77.json
筸,C,gān,tên một địa danh ở Hà Nam,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B78.json
筹,C,chóu,chuẩn bị,"bộ thủ, Hán Việt",chars/7B79.json
筻,C,gàng,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B7B.json
筼,C,yún,xem 篔簹|筼筜[yun2 dang1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B7C.json
签,C,qiān,ký tên,"bộ thủ, Hán Việt",chars/7B7E.json
简,C,jiǎn,"giản dị, đơn giản; thẻ tre (thời xưa)",bộ thủ,chars/7B80.json
箂,C,lái,(tre),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B82.json
箊,C,yū,tre nứa có lá mỏng; rộng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B8A.json
箍,C,gū,Quàng; quấn; bó; xiềng; vòng kim loại,"bộ thủ, Hán Việt",chars/7B8D.json
箎,C,chí,sáo trúc có 8 lỗ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B8E.json
箐,C,qìng,kéo cung tên tre hoặc nỏ,"bộ thủ, câu liên quan, Hán Việt",chars/7B90.json
箑,C,shà,quạt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B91.json
箓,C,lù,sổ ghi chép; lưu trữ; bùa viết của Đạo giáo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B93.json
箔,C,bó,"lụa đan (từ cói, tre, v.v.); giỏ tằm","bộ thủ, câu liên quan, Hán Việt",chars/7B94.json
箕,C,jī,giỏ sàng,bộ thủ,chars/7B95.json
算,C,suàn,xem như,bộ thủ,chars/7B97.json
箘,C,jùn,măng tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B98.json
箙,C,fú,ống tên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B99.json
箛,C,gū,(tre); kèn cho xe chiến mã,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B9B.json
箜,C,kōng,dùng trong 箜篌[kong1 hou2],"bộ thủ, câu liên quan, Hán Việt",chars/7B9C.json
箝,C,qián,cái kìm; kẹp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7B9D.json
管,C,guǎn,"ống; quản lí, trông coi; mặc kệ, cho dù; kiểm soát; phụ trách",bộ thủ,chars/7BA1.json
箦,C,zé,chiếu cói,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BA6.json
箧,C,qiè,rương; hộp,"bộ thủ, câu liên quan, Hán Việt",chars/7BA7.json
箨,C,tuò,vỏ bọc quanh các đốt tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BA8.json
箩,C,luó,cái rổ,"bộ thủ, câu liên quan, Hán Việt",chars/7BA9.json
箪,C,dān,giỏ tròn đựng cơm,"bộ thủ, câu liên quan, Hán Việt",chars/7BAA.json
箫,C,xiāo,"tiêu, một nhạc cụ cổ của Trung Quốc, giống tiêu Pan","bộ thủ, câu liên quan",chars/7BAB.json
箬,C,ruò,(tre); vỏ tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BAC.json
箭,C,jiàn,mũi tên,bộ thủ,chars/7BAD.json
箮,C,xuān,hoa tre; tre trổ bông,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BAE.json
箯,C,biān,kiệu tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BAF.json
箱,C,xiāng,"hộp, thùng",bộ thủ,chars/7BB1.json
箴,C,zhēn,cảnh báo; khuyên răn,"bộ thủ, câu liên quan",chars/7BB4.json
箸,C,zhù,biến thể của 箸[zhu4],"bộ thủ, câu liên quan",chars/7BB8.json
箾,C,shuò,đánh ai đó bằng cột; (cổ đại) cột cầm bởi vũ công,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BBE.json
篁,C,huáng,(tre); lùm tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BC1.json
篃,C,mèi,một loại tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BC3.json
篆,C,zhuàn,con dấu (công vụ); chữ triện (một kiểu thư pháp),"bộ thủ, câu liên quan",chars/7BC6.json
篇,C,piān,chương,"bộ thủ, Hán Việt",chars/7BC7.json
篌,C,hóu,dùng trong 箜篌[kong1 hou2],"bộ thủ, câu liên quan, Hán Việt",chars/7BCC.json
篑,C,kuì,giỏ đựng đất,"bộ thủ, câu liên quan, Hán Việt",chars/7BD1.json
篓,C,lǒu,cái giỏ,"bộ thủ, câu liên quan, Hán Việt",chars/7BD3.json
篖,C,táng,xem 筕篖[hang2 tang2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BD6.json
篙,C,gāo,sào chèo thuyền,"bộ thủ, từ liên quan, câu liên quan",chars/7BD9.json
篚,C,fěi,giỏ tròn có nắp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BDA.json
篛,C,ruò,biểu bì của cây tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BDB.json
篜,C,zhēng,tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BDC.json
篝,C,gōu,khung tre để phơi quần áo; lồng tre,"bộ thủ, câu liên quan",chars/7BDD.json
篟,C,qiàn,sự phát triển sum suê của cây tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BDF.json
篠,C,xiǎo,tre lùn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BE0.json
篡,B,cuàn,chiếm đoạt; cướp ngôi,câu liên quan,chars/7BE1.json
篥,C,lì,tre nứa tốt để làm sào; nhạc cụ kèn,"bộ thủ, từ liên quan, câu liên quan",chars/7BE5.json
篦,C,bì,lược răng mịn; chải,"bộ thủ, câu liên quan, Hán Việt",chars/7BE6.json
篧,C,zhuó,giỏ bắt cá,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BE7.json
篨,C,chú,chiếu tre thô,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BE8.json
篪,C,chí,sáo trúc có 7 hoặc 8 lỗ,"bộ thủ, câu liên quan, Hán Việt",chars/7BEA.json
篭,C,lóng,biến thể cũ của 籠|笼[long2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BED.json
篮,C,lán,cái rổ (đồ đựng); rổ (trong bóng rổ),bộ thủ,chars/7BEE.json
篯,C,Jiān,họ [Jian1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BEF.json
篰,C,bù,dụng cụ giống cái sàng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BF0.json
篱,C,lí,hàng rào,"bộ thủ, câu liên quan, Hán Việt",chars/7BF1.json
篲,C,huì,biến thể của 彗[hui4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BF2.json
篴,C,dí,sáo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BF4.json
篶,C,yān,trúc đen,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BF6.json
篷,C,péng,buồm,bộ thủ,chars/7BF7.json
篹,C,suǎn,giỏ tre cổ dùng đựng thức ăn; biến thể của 匴[suan3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BF9.json
篼,C,dōu,"giỏ làm từ tre, mây hoặc liễu; kiệu dùng trên núi (Quảng Đông)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7BFC.json
篾,C,miè,lớp ngoài của thân tre (hoặc sậy hoặc cao lương); dải tre mỏng,"bộ thủ, câu liên quan, Hán Việt",chars/7BFE.json
簁,C,xǐ,"cái rây; rây, lọc","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C01.json
簃,C,yí,ngôi nhà nhỏ nối với nhà lớn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C03.json
簆,C,kòu,khung cán cửi dệt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C06.json
簇,C,cù,đông đúc; giá cho tằm,"bộ thủ, Hán Việt",chars/7C07.json
簉,C,zào,phó; cấp dưới,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C09.json
簋,C,guǐ,đồ đựng thức ăn bằng đồng cổ có miệng tròn và hai hoặc bốn quai; giỏ tròn bằng tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C0B.json
簌,C,sù,thảm thực vật rậm rạp; cái rây,"bộ thủ, câu liên quan, Hán Việt",chars/7C0C.json
簏,C,lù,hộp; giỏ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C0F.json
簖,C,duàn,bẫy cá bằng tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C16.json
簗,C,zhù,biến thể sai của 築|筑[zhu4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C17.json
簜,C,dàng,(tre),"bộ thủ, từ liên quan, câu liên quan",chars/7C1C.json
簟,C,diàn,chiếu cói dệt tinh xảo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C1F.json
簠,C,fǔ,giỏ dùng trong lễ tế,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C20.json
簥,C,jiāo,ống lớn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C25.json
簦,C,dēng,dù lớn cho quầy hàng; một loại nón tre hoặc rơm cổ,"bộ thủ, từ liên quan, câu liên quan",chars/7C26.json
簧,C,huáng,lưỡi gà kim loại; lò xo khóa,"bộ thủ, Hán Việt",chars/7C27.json
簨,C,sǔn,xà ngang để treo chuông,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C28.json
簪,C,zān,trâm cài tóc,"bộ thủ, câu liên quan",chars/7C2A.json
簬,C,lù,(cây tre),"bộ thủ, từ liên quan, câu liên quan",chars/7C2C.json
簰,C,pái,bè tre,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C30.json
簸,C,bǒ,sàng; tung lên xuống,"bộ thủ, Hán Việt",chars/7C38.json
簻,C,kē,to lớn; đói khát,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C3B.json
簿,C,bù,"sổ, vở, tập (sách, vở)","bộ thủ, Hán Việt",chars/7C3F.json
籀,C,Zhòu,họ [Zhou4],"bộ thủ, câu liên quan, Hán Việt",chars/7C40.json
籁,C,lài,âm thanh; tiếng ồn,"bộ thủ, câu liên quan, Hán Việt",chars/7C41.json
籊,C,tì,tre bambu dài (làm cần câu),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C4A.json
籍,C,Jí,họ [Ji2],"bộ thủ, Hán Việt",chars/7C4D.json
籑,B,zhuàn,biến thể cũ của 撰[zhuan4],"từ liên quan, câu liên quan, Hán Việt",chars/7C51.json
籒,C,zhòu,biến thể cũ của 籀[zhou4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C52.json
籓,C,fān,giỏ sảy lớn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C53.json
籚,C,lú,giỏ làm bằng cỏ bàng; cán giáo,"bộ thủ, từ liên quan, câu liên quan",chars/7C5A.json
籝,C,yíng,biến thể cũ của 籯[ying2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C5D.json
籣,C,lán,hộp đựng cung; ống tên,"bộ thủ, từ liên quan, câu liên quan",chars/7C63.json
籥,C,yuè,sáo; chìa khóa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C65.json
籧,C,qú,chiếu tre thô,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C67.json
籫,C,zuǎn,(văn học) ống tre dùng để đựng đũa hoặc muỗng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C6B.json
籭,C,shāi,biến thể cũ của 篩|筛[shai1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C6D.json
籯,C,yíng,giỏ thon để đũa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C6F.json
米,A,mǐ,mét,Hán Việt,chars/7C73.json
籴,C,dí,mua (lương thực),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C74.json
籵,C,fán,dm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C75.json
籸,C,shēn,ngũ cốc nghiền nát,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C78.json
籹,C,nǚ,bánh từ bột gạo và mật ong,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C79.json
籼,B,xiān,gạo hạt dài; giống như 秈,"câu liên quan, Hán Việt",chars/7C7C.json
籽,C,zǐ,hạt giống,"bộ thủ, câu liên quan, Hán Việt",chars/7C7D.json
粀,C,zhàng,đề-xa-mét (cũ),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C80.json
粁,C,qiān,ki-lô-mét,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C81.json
粄,C,bǎn,"(ẩm thực Khách Gia) món ăn làm từ bột gạo nếp (bánh gạo, mì sợi, v.v.)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C84.json
粋,C,cuì,biến thể tiếng Nhật của 粹,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C8B.json
粑,B,bā,một loại bánh tròn dẹt (phương ngữ),"câu liên quan, Hán Việt",chars/7C91.json
粔,C,jù,bánh làm từ bột gạo nặn thành vòng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C94.json
粕,B,pò,bã rượu,"câu liên quan, Hán Việt",chars/7C95.json
粘,A,zhān,dán,Hán Việt,chars/7C98.json
粚,C,chī,biến thể cũ của 黐[chi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C9A.json
粛,C,sù,biến thể tiếng Nhật của 肅|肃,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C9B.json
粜,C,tiào,bán (lương thực),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7C9C.json
粝,C,lì,gạo thô,"bộ thủ, câu liên quan, Hán Việt",chars/7C9D.json
粞,B,xī,gạo xay; đập lúa,"từ liên quan, câu liên quan, Hán Việt",chars/7C9E.json
粟,C,Sù,họ [Su4],"bộ thủ, câu liên quan, Hán Việt",chars/7C9F.json
粢,B,zī,kê thường,"từ liên quan, câu liên quan, Hán Việt",chars/7CA2.json
粤,C,Yuè,tiếng Quảng Đông; tên gọi tắt của Quảng Đông 廣東|广东[Guang3 dong1],"bộ thủ, câu liên quan, Hán Việt",chars/7CA4.json
粥,C,zhōu,cháo,"bộ thủ, Hán Việt",chars/7CA5.json
粨,C,bǎi mǐ,héc-tô-mét (cách cũ); chữ đơn tương đương với 百米[bai3 mi3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7CA8.json
粩,C,lāo,"một loại bánh truyền thống của Đài Loan và Phúc Kiến, được chiên, sau đó phủ maltose và lăn trong mè hoặc đậu phộng nghiền nhỏ,…; cách đọc ở Đài Loan: [lao3]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7CA9.json
粬,C,qū,biến thể của 麯[qu1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7CAC.json
粰,C,fū,biến thể của 稃[fu1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/7CB0.json
粱,A,liáng,cây cao lương,Hán Việt,chars/7CB1.json
